dsc_cidade,nota,data_ref
"Engenheiro Coelho","10","2011-12-31"
"São José do Piauí","4.48915145566115","2011-12-31"
"Jataí","9.00538757657962","2011-12-31"
"Carolina","3.80543904212942","2011-12-31"
"Abre Campo","5.8627761507293","2011-12-31"
"Antonina do Norte","5.12557856340507","2011-12-31"
"Acaiaca","9.3085473500939","2011-12-31"
"Aimorés","7.17561502094053","2011-12-31"
"Aiuruoca","5.20782549991271","2011-12-31"
"Fortaleza dos Nogueiras","5.23200852361777","2011-12-31"
"Jacareí","10","2011-12-31"
"Alagoa","6.47490189327701","2011-12-31"
"Albertina","9.21412307379449","2011-12-31"
"Além Paraíba","5.91217894964525","2011-12-31"
"Alfenas","10","2011-12-31"
"Alpinópolis","10","2011-12-31"
"Alto Caparaó","9.57650205299935","2011-12-31"
"Alto Rio Doce","7.55991535582187","2011-12-31"
"Saltinho","9.91375761308147","2011-12-31"
"Alvinópolis","7.05120654005702","2011-12-31"
"Senador José Porfírio","5.64406310033495","2011-12-31"
"Selbach","6.96915692644517","2011-12-31"
"Altônia","9.96795756737283","2011-12-31"
"Cachoeira de Pajeú","5.49963217536167","2011-12-31"
"Andrelândia","7.52425628309669","2011-12-31"
"Araponga","9.88352632921491","2011-12-31"
"Cordeiro","6.00530554359682","2011-12-31"
"Araguacema","10","2011-12-31"
"Terezinha","6.49098100682473","2011-12-31"
"Argirita","10","2011-12-31"
"São José do Mantimento","10","2011-12-31"
"Aricanduva","6.02245505627396","2011-12-31"
"Arinos","5.38111582614434","2011-12-31"
"Osório","8.99209372795366","2011-12-31"
"Ataléia","6.90251589138215","2011-12-31"
"Manoel Viana","10","2011-12-31"
"Santa Maria do Oeste","5.22841695001893","2011-12-31"
"Baldim","10","2011-12-31"
"Novais","7.56629208666391","2011-12-31"
"Bambuí","6.71891703732418","2011-12-31"
"Bandeira do Sul","6.54616985762267","2011-12-31"
"Caraúbas do Piauí","5.97071078933425","2011-12-31"
"Barbacena","8.14223212599638","2011-12-31"
"Belmiro Braga","10","2011-12-31"
"Belo Horizonte","8.72554284198159","2011-12-31"
"Belo Oriente","7.71614590245172","2011-12-31"
"Irajuba","5.69488070407637","2011-12-31"
"Berilo","6.19483737124567","2011-12-31"
"Bias Fortes","9.83337180251538","2011-12-31"
"Bicas","7.42302701170493","2011-12-31"
"Biquinhas","10","2011-12-31"
"Boa Esperança","8.1698739948801","2011-12-31"
"Bocaina de Minas","5.47283176846531","2011-12-31"
"Botucatu","10","2011-12-31"
"Cubatão","10","2011-12-31"
"Bocaiúva","9.63290663239272","2011-12-31"
"Bom Despacho","9.23297867363276","2011-12-31"
"Bom Repouso","10","2011-12-31"
"Bonfinópolis de Minas","10","2011-12-31"
"Botelhos","8.64582218564362","2011-12-31"
"Botumirim","7.13922640876653","2011-12-31"
"Chapadão do Céu","5.08919844883469","2011-12-31"
"Brasilândia de Minas","10","2011-12-31"
"Braúnas","7.0570050225148","2011-12-31"
"Brazópolis","7.1102513879075","2011-12-31"
"Schroeder","10","2011-12-31"
"Brumadinho","10","2011-12-31"
"Cajazeiras","8.6772804325632","2011-12-31"
"Buenópolis","6.95543732745533","2011-12-31"
"Bugre","7.26841274235795","2011-12-31"
"Caseara","10","2011-12-31"
"São Ludgero","7.86074190861424","2011-12-31"
"Buritizeiro","6.3058010909141","2011-12-31"
"Cabeceira Grande","7.65103565865938","2011-12-31"
"Caeté","9.84969211137871","2011-12-31"
"Cambuquira","6.50691632916377","2011-12-31"
"Campestre","5.35352252178973","2011-12-31"
"Campina Verde","8.39039096128669","2011-12-31"
"Curral Novo do Piauí","7.32458152019201","2011-12-31"
"Campo Azul","9.89756576787094","2011-12-31"
"Cruzaltense","10","2011-12-31"
"Campos Gerais","8.60237279311702","2011-12-31"
"Candeias","7.86189393350062","2011-12-31"
"Corguinho","10","2011-12-31"
"Laranjal","10","2011-12-31"
"Mauá","10","2011-12-31"
"Capela Nova","7.46379411812017","2011-12-31"
"Capelinha","4.92538545653506","2011-12-31"
"Capitólio","10","2011-12-31"
"Ribeirão Vermelho","7.63953692147283","2011-12-31"
"Caratinga","10","2011-12-31"
"Carlos Chagas","4.85737959292223","2011-12-31"
"Lago da Pedra","5.04278698978867","2011-12-31"
"Carmo da Cachoeira","7.69290504079165","2011-12-31"
"Carmo do Paranaíba","7.64706016751116","2011-12-31"
"Carneirinho","6.00803634311603","2011-12-31"
"Cachoeira de Minas","10","2011-12-31"
"Carrancas","8.8443270381528","2011-12-31"
"Piedade de Caratinga","8.72804690948107","2011-12-31"
"Cataguases","9.20125074303635","2011-12-31"
"Catas Altas","8.22476445625855","2011-12-31"
"Catuji","5.07239653901084","2011-12-31"
"Catuti","7.56202058258073","2011-12-31"
"Central de Minas","7.33881034838124","2011-12-31"
"Centralina","10","2011-12-31"
"Chalé","8.29232239523261","2011-12-31"
"Chapada do Norte","5.02801817779137","2011-12-31"
"Chapada Gaúcha","10","2011-12-31"
"Cipotânea","8.64242406479937","2011-12-31"
"Claraval","10","2011-12-31"
"Itabaiana","8.82070280307542","2011-12-31"
"Claro dos Poções","10","2011-12-31"
"Itá","10","2011-12-31"
"Coimbra","10","2011-12-31"
"Aragominas","9.74387808862157","2011-12-31"
"Guarantã","10","2011-12-31"
"Alambari","10","2011-12-31"
"Comercinho","7.40761590658529","2011-12-31"
