"dsc_cidade","populacao"
"Alta Floresta D'Oeste (RO)","22728"
"Ariquemes (RO)","109523"
"Cabixi (RO)","5188"
"Cacoal (RO)","85893"
"Cerejeiras (RO)","16204"
"Colorado do Oeste (RO)","15544"
"Corumbiara (RO)","7220"
"Costa Marques (RO)","18798"
"Espigão D'Oeste (RO)","32695"
"Guajará-Mirim (RO)","46556"
"Jaru (RO)","51620"
"Ji-Paraná (RO)","130009"
"Machadinho D'Oeste (RO)","40867"
"Nova Brasilândia D'Oeste (RO)","20489"
"Ouro Preto do Oeste (RO)","35737"
"Pimenta Bueno (RO)","36881"
"Porto Velho (RO)","539354"
"Presidente Médici (RO)","18571"
"Rio Crespo (RO)","3804"
"Rolim de Moura (RO)","55407"
"Santa Luzia D'Oeste (RO)","6216"
"Vilhena (RO)","102211"
"São Miguel do Guaporé (RO)","23077"
"Nova Mamoré (RO)","31392"
"Alvorada D'Oeste (RO)","14106"
"Alto Alegre dos Parecis (RO)","13255"
"Alto Paraíso (RO)","21847"
"Buritis (RO)","40356"
"Novo Horizonte do Oeste (RO)","8329"
"Cacaulândia (RO)","6269"
"Campo Novo de Rondônia (RO)","14266"
"Candeias do Jamari (RO)","27388"
"Castanheiras (RO)","2987"
"Chupinguaia (RO)","11472"
"Cujubim (RO)","26183"
"Governador Jorge Teixeira (RO)","7445"
"Itapuã do Oeste (RO)","10641"
"Ministro Andreazza (RO)","9559"
"Mirante da Serra (RO)","10818"
"Monte Negro (RO)","16007"
"Nova União (RO)","6895"
"Parecis (RO)","6198"
"Pimenteiras do Oeste (RO)","2148"
"Primavera de Rondônia (RO)","2776"
"São Felipe D'Oeste (RO)","5066"
"São Francisco do Guaporé (RO)","20681"
"Seringueiras (RO)","11851"
"Teixeirópolis (RO)","4233"
"Theobroma (RO)","10395"
"Urupá (RO)","11272"
"Vale do Anari (RO)","11377"
"Vale do Paraíso (RO)","6656"
"Acrelândia (AC)","15490"
"Assis Brasil (AC)","7534"
"Brasiléia (AC)","26702"
"Bujari (AC)","10420"
"Capixaba (AC)","12008"
"Cruzeiro do Sul (AC)","89072"
"Epitaciolândia (AC)","18696"
"Feijó (AC)","34884"
"Jordão (AC)","8473"
"Mâncio Lima (AC)","19311"
"Manoel Urbano (AC)","9581"
"Marechal Thaumaturgo (AC)","19299"
"Plácido de Castro (AC)","19955"
"Porto Walter (AC)","12241"
"Rio Branco (AC)","413418"
"Rodrigues Alves (AC)","19351"
"Santa Rosa do Purus (AC)","6717"
"Senador Guiomard (AC)","23236"
"Sena Madureira (AC)","46511"
"Tarauacá (AC)","43151"
"Xapuri (AC)","19596"
"Porto Acre (AC)","18824"
"Alvarães (AM)","16220"
"Amaturá (AM)","11736"
"Anamã (AM)","13956"
"Anori (AM)","21477"
"Apuí (AM)","22359"
"Atalaia do Norte (AM)","20398"
"Autazes (AM)","40290"
"Barcelos (AM)","27638"
"Barreirinha (AM)","32483"
"Benjamin Constant (AM)","43935"
"Beruri (AM)","20093"
"Boa Vista do Ramos (AM)","19626"
"Boca do Acre (AM)","34635"
"Borba (AM)","41748"
"Caapiranga (AM)","13283"
"Canutama (AM)","15807"
"Carauari (AM)","28508"
"Careiro (AM)","38348"
"Careiro da Várzea (AM)","30846"
"Coari (AM)","85910"
"Codajás (AM)","29168"
"Eirunepé (AM)","35700"
"Envira (AM)","20393"
"Fonte Boa (AM)","17005"
"Guajará (AM)","16937"
"Humaitá (AM)","56144"
"Ipixuna (AM)","30436"
"Iranduba (AM)","49011"
"Itacoatiara (AM)","102701"
"Itamarati (AM)","7814"
"Itapiranga (AM)","9230"
"Japurá (AM)","2251"
"Juruá (AM)","15106"
"Jutaí (AM)","13886"
"Lábrea (AM)","46882"
"Manacapuru (AM)","98502"
"Manaquiri (AM)","33049"
"Manaus (AM)","2219580"
"Manicoré (AM)","56583"
"Maraã (AM)","18261"
"Maués (AM)","65040"
"Nhamundá (AM)","21443"
"Nova Olinda do Norte (AM)","38026"
"Novo Airão (AM)","19928"
"Novo Aripuanã (AM)","26046"
"Parintins (AM)","115363"
"Pauini (AM)","19522"
"Presidente Figueiredo (AM)","37193"
"Rio Preto da Eva (AM)","34106"
"Santa Isabel do Rio Negro (AM)","25865"
"Santo Antônio do Içá (AM)","21243"
"São Gabriel da Cachoeira (AM)","46303"
"São Paulo de Olivença (AM)","40073"
"São Sebastião do Uatumã (AM)","14352"
"Silves (AM)","9230"
"Tabatinga (AM)","67182"
"Tapauá (AM)","17015"
"Tefé (AM)","59547"
"Tonantins (AM)","18897"
"Uarini (AM)","13690"
"Urucará (AM)","16130"
"Urucurituba (AM)","23585"
"Amajari (RR)","13185"
"Alto Alegre (RR)","15380"
"Boa Vista (RR)","419652"
"Bonfim (RR)","12557"
"Cantá (RR)","18799"
"Caracaraí (RR)","22283"
"Caroebe (RR)","10383"
"Iracema (RR)","12296"
"Mucajaí (RR)","18172"
"Normandia (RR)","11532"
"Pacaraima (RR)","18913"
"Rorainópolis (RR)","30782"
"São João da Baliza (RR)","8348"
"São Luiz (RR)","8110"
"Uiramutã (RR)","10789"
"Abaetetuba (PA)","159080"
"Abel Figueiredo (PA)","7486"
"Acará (PA)","55669"
"Afuá (PA)","39567"
"Água Azul do Norte (PA)","27615"
"Alenquer (PA)","57092"
"Almeirim (PA)","34076"
"Altamira (PA)","115969"
"Anajás (PA)","29688"
"Ananindeua (PA)","535547"
"Anapu (PA)","28607"
"Augusto Corrêa (PA)","46471"
"Aurora do Pará (PA)","31773"
"Aveiro (PA)","16404"
"Bagre (PA)","31325"
"Baião (PA)","48459"
"Bannach (PA)","3262"
"Barcarena (PA)","127027"
"Belém (PA)","1499641"
"Belterra (PA)","17839"
"Benevides (PA)","63768"
"Bom Jesus do Tocantins (PA)","17118"
"Bonito (PA)","16530"
"Bragança (PA)","128914"
"Brasil Novo (PA)","14983"
"Brejo Grande do Araguaia (PA)","7368"
"Breu Branco (PA)","67332"
"Breves (PA)","103497"
"Bujaru (PA)","29427"
"Cachoeira do Piriá (PA)","34609"
"Cachoeira do Arari (PA)","24064"
"Cametá (PA)","139364"
"Canaã dos Carajás (PA)","38103"
"Capanema (PA)","69431"
"Capitão Poço (PA)","54425"
"Castanhal (PA)","203251"
"Chaves (PA)","23948"
"Colares (PA)","12131"
"Conceição do Araguaia (PA)","47991"
"Concórdia do Pará (PA)","33781"
"Cumaru do Norte (PA)","13761"
"Curionópolis (PA)","17846"
"Curralinho (PA)","34994"
"Curuá (PA)","14587"
"Curuçá (PA)","40584"
"Dom Eliseu (PA)","60469"
"Eldorado do Carajás (PA)","33940"
"Faro (PA)","7070"
"Floresta do Araguaia (PA)","20525"
"Garrafão do Norte (PA)","26111"
"Goianésia do Pará (PA)","41081"
"Gurupá (PA)","33755"
"Igarapé-Açu (PA)","39023"
"Igarapé-Miri (PA)","63036"
"Inhangapi (PA)","11861"
"Ipixuna do Pará (PA)","65625"
"Irituia (PA)","32595"
"Itaituba (PA)","101395"
"Itupiranga (PA)","53355"
"Jacareacanga (PA)","7590"
"Jacundá (PA)","59842"
"Juruti (PA)","58960"
"Limoeiro do Ajuru (PA)","29282"
"Mãe do Rio (PA)","30235"
"Magalhães Barata (PA)","8573"
"Marabá (PA)","283542"
"Maracanã (PA)","29516"
"Marapanim (PA)","28450"
"Marituba (PA)","133685"
"Medicilândia (PA)","31975"
"Melgaço (PA)","27890"
"Mocajuba (PA)","31530"
"Moju (PA)","83182"
"Mojuí dos Campos (PA)","16184"
"Monte Alegre (PA)","58162"
"Muaná (PA)","40906"
"Nova Esperança do Piriá (PA)","21444"
"Nova Ipixuna (PA)","16854"
"Nova Timboteua (PA)","15506"
"Novo Progresso (PA)","25766"
"Novo Repartimento (PA)","77214"
"Óbidos (PA)","52306"
"Oeiras do Pará (PA)","32850"
"Oriximiná (PA)","74016"
"Ourém (PA)","17961"
"Ourilândia do Norte (PA)","33335"
"Pacajá (PA)","48414"
"Palestina do Pará (PA)","7582"
"Paragominas (PA)","114503"
"Parauapebas (PA)","213576"
"Pau D'Arco (PA)","5410"
"Peixe-Boi (PA)","8081"
"Piçarra (PA)","12979"
"Placas (PA)","31659"
"Ponta de Pedras (PA)","31549"
"Portel (PA)","62945"
"Porto de Moz (PA)","41801"
"Prainha (PA)","29846"
"Primavera (PA)","10857"
"Quatipuru (PA)","13702"
"Redenção (PA)","85563"
"Rio Maria (PA)","18201"
"Rondon do Pará (PA)","52803"
"Rurópolis (PA)","51500"
"Salinópolis (PA)","40922"
"Salvaterra (PA)","24075"
"Santa Bárbara do Pará (PA)","21449"
"Santa Cruz do Arari (PA)","10314"
"Santa Izabel do Pará (PA)","71837"
"Santa Luzia do Pará (PA)","19843"
"Santa Maria das Barreiras (PA)","21850"
"Santa Maria do Pará (PA)","24995"
"Santana do Araguaia (PA)","74419"
"Santarém (PA)","306480"
"Santarém Novo (PA)","6753"
"Santo Antônio do Tauá (PA)","31918"
"São Caetano de Odivelas (PA)","18129"
"São Domingos do Araguaia (PA)","25753"
"São Domingos do Capim (PA)","32139"
"São Félix do Xingu (PA)","132138"
"São Francisco do Pará (PA)","15930"
